,index,song,year,artist,genre,lyrics
130805,130805,waterloo-english-version,2009,abba,Pop,"My my
At Waterloo Napoleon did surrender
Oh yeah
And I have met my destiny in quite a similar way
The history book on the shelf
Is always repeating itself
Waterloo I was defeated, you won the war
Waterloo promise to love you for ever more
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Waterloo finally facing my Waterloo
My my
I tried to hold you back, but you were stronger
Oh yeah
And now it seems my only chance is giving up the fight
And how could I ever refuse
I feel like I win when I lose
Waterloo I was defeated, you won the war
Waterloo promise to love you for ever more
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Oh, oh Waterloo finally facing my Waterloo
So how could I ever refuse
I feel like I win when I lose
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Waterloo finally facing my Waterloo
Waterloo knowing my fate is to be with you
Oh, oh Waterloo finally facing my Waterloo
Waterloo knowing my fate is to be with you"
130806,130806,soldiers,2009,abba,Pop,"Do I hear what I think I'm hearin'?
Do I see the signs, I think I see?
Or is this just fantasy
Is it true that the beast is wakin'?
Stirrin' in his restless sleep tonight in the pale moonlight
In the grip of this cold December
You and I have reason to remember
Soldiers write the songs that soldiers sing
The songs that you and I don't sing
They blow their horns and march along
They drum their drums and look so strong
You'd think that nothin' in the world was wrong
Soldiers write the songs that soldiers sing
The songs that you and I won't sing
Let's not look the other way, takin' a chance
'Cause if the bugler starts to play
We too must dance
What's that sound, what's that dreadful rumble?
Won't somebody tell me what I hear?
In the distance but drawin' near
Is it only a storm approachin'?
All that thunder and the blinding light in the winter night
In the grip of this cold December
You and I have reason to remember
Soldiers write the songs that soldiers sing
The songs that you and I don't sing
They blow their horns and march along
They drum their drums and look so strong
You'd think that nothin' in the world was wrong
Soldiers write the songs that soldiers sing
The songs that you and I won't sing
Let's not look the other way, takin' a chance
'Cause if the bugler starts to play
We too must dance
Soldiers write the songs that soldiers sing
The songs that you and I won't sing
Let's not look the other way, takin' a chance
'Cause if the bugler starts to play
We too must dance"
130807,130807,gonna-sing-you-my-lovesong,2009,abba,Pop,"You say she's been mad at you
Then you say you'll be patient, ooh
Still I see that she makes you blue
Come on, I'll give you consolation
Gonna sing you my love song, gonna bring you some light
Gonna make you feel happy every day of your life
Gonna sing you my love song, gonna make it all right
You're all I ever need, my darling
Just to be where you want to be
So much fun we could have then, hmm
To be close for eternity
What a miracle to happen
Gonna sing you my love song, gonna sing it for you
Gonna give you sweet loving, gonna give myself too
Gonna sing you my love song, when I think about you
I know she doesn't make it easy
'Cause you don't please her like you please me
You're my life, you're my angel
You're my first, you're my last
Would she care if you lingered
For another night
Want to hold you tight
We could make it right
Gonna sing you my love song, gonna bring you some light
Gonna make you feel happy every day of your life
Gonna sing you my love song, gonna make it all right
I know she doesn't make it easy
Gonna sing you my love song, gonna sing it for you
Gonna give you sweet loving, gonna give myself too
Gonna sing you my love song, when I think about you
You're all I ever need, my darling
And I would love to sing my love song
For you"
130808,130808,kisses-of-fire,2009,abba,Pop,"Lay your head on my chest so you hear every beat of my heart
Now there's nothing at all that can keep us apart
Touch my lips, close your eyes and see with your fingertips
Things that you do, and you know I'm crazy 'bout you
Kisses of fire, burning, burning
I'm at the point of no returning
Kisses of fire, sweet devotions
Caught in a landslide of emotions
I've had my share of love affairs and they were nothing compared to this
Oh, I'm riding higher than the sky and there is fire in every kiss
Kisses of fire
Kisses of fire
When you sleep by my side I feel safe and I know I belong
Still it's making me scared that my love is so strong
Losing you It's a nightmare, babe, and to me it's new
Never before did you see me begging for more
Kisses of fire, burning, burning
I'm at the point of no returning
Kisses of fire, sweet devotions
Caught in a landslide of emotions
I've had my share of love affairs but they were nothing compared to this
Oh, I'm riding higher than the sky and there is fire in every kiss
Kisses of fire
Kisses of fire"
130809,130809,i-wonder-departure,2009,abba,Pop,"This park and these houses, old streets I have walked
Everything dear, will it be here
One day when I am returning?
My friends will get married, have children and homes
It sounds so nice, well-planned and wise
Never expecting surprises
I wonder, it's frightening
Leaving now, is that the right thing?
I wonder, it scares me
But who the the hell am I if I don't leave it
I'm not a coward
Oh no, I'll be strong
One chance in a lifetime
Yes I will take it, it can't go wrong
My friends and my family, this dull little town
Buses I've missed, boys that I've kissed
Everything old and familiar
I wonder, it's frightening
Leaving now, is that the right thing?
I wonder, it scares me
But who the the hell am I if I don't leave it
I'm not a coward
Oh no, I'll be strong
One chance in a lifetime
Yes I will take it
Yes I will take it, it can't go wrong"
130810,130810,andante-andante,2009,abba,Pop,"Take it easy with me, please
Touch me gently like a summer evening breeze
Take your time, make it slow
Andante, Andante
Just let the feeling grow
Make your fingers soft and light
Let your body be the velvet of the night
Touch my soul, you know how
Andante, Andante
Go slowly with me now
I'm your music
(I am your music and I am your song)
I'm your song
(I am your music and I am your song)
Play me time and time again and make me strong
(Play me again 'cause you're making me strong)
Make me sing, make me sound
(You make me sing and you make me)
Andante, Andante
Tread lightly on my ground
Andante, Andante
Oh please don't let me down
There's a shimmer in your eyes
Like the feeling of a thousand butterflies
Please don't talk, go on, play
Andante, Andante
And let me float away
I'm your music
(I am your music and I am your song)
I'm your song
(I am your music and I am your song)
Play me time and time again and make me strong
(Play me again 'cause you're making me strong)
Make me sing, make me sound
(You make me sing and you make me)
Andante, Andante
Tread lightly on my ground
Andante, Andante
Oh please don't let me down
Make me sing, make me sound
(You make me sing and you make me)
Andante, Andante
Tread lightly on my ground
Andante, Andante
Oh please don't let me down
Andante, Andante
Oh please don't let me down"
130811,130811,cassandra,2009,abba,Pop,"Down in the street they're all singing and shouting
Staying alive though the city is dead
Hiding their shame behind hollow laughter
While you are crying alone on your bed
Pity Cassandra that no one believed you
But then again you were lost from the start
Now we must suffer and sell our secrets
Bargain, playing smart, aching in our hearts
Sorry Cassandra I misunderstood
Now the last day is dawning
Some of us wanted but none of us would
Listen to words of warning
But on the darkest of nights
Nobody knew how to fight
And we were caught in our sleep
Sorry Cassandra I didn't believe
You really had the power
I only saw it as dreams you would weave
Until the final hour
So in the morning your ship will be sailing
Now that your father and sister are gone
There is no reason for you to linger
You're grieving deeply but still moving on
You know the future is casting a shadow
No one else sees it but you know your fate
Packing your bags, being slow and thorough
Knowing, though you're late, that ship is sure to wait
Sorry Cassandra I misunderstood
Now the last day is dawning
Some of us wanted but none of us would
Listen to words of warning
But on the darkest of nights
Nobody knew how to fight
And we were caught in our sleep
Sorry Cassandra I didn't believe
You really had the power
I only saw it as dreams you would weave
Until the final hour
I watched the ship leaving harbor at sunrise
Sails almost slack in the cool morning rain
She stood on deck, just a tiny figure
Rigid and restrained, blue eyes filled with pain
Sorry Cassandra I misunderstood
Now the last day is dawning
Some of us wanted but none of us would
Listen to words of warning
But on the darkest of nights
Nobody knew how to fight
And we were caught in our sleep
Sorry Cassandra I didn't believe
You really had the power
I only saw it as dreams you would weave
Until the final hour
I'm sorry Cassandra
I'm sorry Cassandra"
130812,130812,eagle-short-version,2009,abba,Pop,"They came flying from far away, now I'm under their spell
I love hearing the stories that they tell
They've seen places beyond my land and they've found new horizons
They speak strangely but I understand
And I dream I'm an eagle
And I dream I can spread my wings
Flying high, high, I'm a bird in the sky
I'm an eagle that rides on the breeze
High, high, what a feeling to fly
Over mountains and forests and seas
And to go anywhere that I please
As all good friends we talk all night, and we fly wing to wing
I have questions and they know everything
There's no limit to what I feel, we climb higher and higher
Am I dreaming or is it all real?
Is it true I'm an eagle?
Is it true I can spread my wings?
Flying high, high, I'm a bird in the sky (I'm an eagle)
I'm an eagle that rides on the breeze
High, high, what a feeling to fly (What a feeling)
Over mountains and forests and seas
And to go anywhere that I please"
130813,130813,i-am-just-a-girl,2009,abba,Pop,"I am just a girl
One among the others, nothing much to say
Plain and simple girl
Not a special type in any way
Just one look and you will surely see
That the true Miss Nobody is me
It's an evil world
That has only made me a girl
I am just a girl
Not the kind of woman men would like to meet
Just another girl
No one ever looks at in the street
But today I can't believe it's true
When you smiled and whispered, I love you
Darling I could see
I was meant to be your girl
It's a funny feeling when you get to love someone
And thinking that he'll never look your way
But then he says he loves you and life has just begun
It's so much more than any words can say
I am just a girl
Not the kind of woman men would like to meet
Just another girl
No one ever looks at in the street
But today I can't believe it's true
When you smiled and whispered, I love you
Darling I could see
I was meant to be your girl
La, la, la, la la
But today I can't believe it's true
When you smiled and whispered, I love you
Darling I could see
I was meant to be your girl"
130814,130814,should-i-laugh-or-cry,2009,abba,Pop,"Frida
He stands
Towering over me beside my bed
Losing his head
Tells me
I must take him seriously
Droning on the usual way
He's such a clever guy
And I wonder
Should I laugh or cry
He's dressed
In the striped pyjamas that I bought
Trousers too short
Gives me
On his small philosophy
Carries on the way he does
And me I get so tired
And I wonder
Should I laugh or cry
Agnetha, Frida
High and mighty, his banner flies
A fool's pride in his eyes
Standing there on his toes
To grow in size
All I see is a big balloon
Halfway up to the moon
He's wrapped up in the warm
And save cocoon
Of an eternal lie
So should I laugh or cry
Frida
Strange how
Dangerously indifferent I have grown
Cold as a stone
No more
Pain as there was pain before
Far away he rambles on
I feel my throat go dry
And I wonder
Should I laugh or cry
Agnetha,
Frida High and mighty, his banner flies
A fool's pride in his eyes
Standing there on his toes
To grow in size
All I see is a big balloon
Halfway up to the moon
He's wrapped up in the warm
And save cocoon
Of an eternal lie
So should I laugh or cry"
