,index,song,year,artist,genre,lyrics
229973,229973,crabsody-in-blue,2009,ac-dc,Rock,"Well they move on down
And they crawl around
Walkin' sideways
Sideways walkin'
Gives me the blues
And then you start to scratch
And they start to hatch
Walkin' sideways
Sideways walkin'
Gives me the blues
Oh, and when they start to bite
Then it's time you saw the light
For an appointment
Before you start to scream
That's when you apply the cream
Blues ointment
Well the doctor said
We got to make 'em dead
Stops 'em walkin
Sideways walkin'
Gives me the blues
Oh, and when you start to scream
That's when you apply the cream
Blues ointment
And when they start to itch
You go out and you take a bitch
For an appoinment
Well you rub it on
And you rub it in
Stops em walkin'
Sideways walkin'
gives them the blues
They got the blues.
Gives them the blues."
229974,229974,carry-me-home,2009,ac-dc,Rock,"The bartender's working on a late night shift
Cheap bums and blondes and barmaids on a midnight drift.
And the dance band's playing the same old slam
I'm sinking whiskey and you're sipping fine wine
I don't know what it is you're trying to prove
Well it should be you but it's me who can hardly move
And I've got my reputation lying on the line
Come on baby, be a good dog and help the blind
Oh won't you carry me home
Won't you carry me home
Won't you carry me home
(like a truck, pick me up)
You ain't no lady but you've sure got taste in men
That head of yours has got you by time and time again
My arms and legs are aching and my head's about to blow
And your back's been breakin' and I'd hate to spoil the show
But I've just spent next weeks wages and I'm right out of coin
But you want more and it's half past four and they want to close the joint
But we can't afford a taxi, and it's too late for the bus
But I've been told by friends of mine you're someone I can trust
Carry me home
Oh won't you carry me home
Ohh! Carry me home
(don't let me lie here in all this beer)
You drank all your booze and half of mine
I'm bleary eyed and you're waiting for the sunshine (to come and kill me)
Just like the man who threw me on the floor
Don't matter, while I'm down here I might as well try and find the fucking door
Excuse me, have you seen it? it's about this big
And have you got a plastic bag 'cause I'm gonna be sick
I'm dead drunk and heave'n hanging upside down
And you're getting up and leaving, you think I'm gonna drown
Carry me home
Yeah won't you carry me home
(I need your help)
Carry me home
Carry me home
Oh won't you carry me home
Yeah carry me home"
229975,229975,love-song,2009,ac-dc,Rock,"I can tell by the look in your eye
I can tell by the way you sigh
That you know I've been thinking of you
And you know what I want to do
Oh Jean
When you smile I see stars in the sky
When you smile I see sunrise
And I know you've been thinking of me
And I know how you want it to be
Oh Jean
I can tell by the things you say
I can tell that you know the way
And I know what you want me to do
Oh, I've got hearts and flowers for you
If you leave me you'll make me cry
When I think of you saying good bye
Oh the sky turns to a deeper blue
That's - that's how I'd feel if I lost you
Oh Jean"
229976,229976,snake-eye,2009,ac-dc,Rock,"You paint a picture
So it's plain to see
Ain't no hiding
No security
I'll be watching
Every move you make
When you hear the rattle
Better be awake
Chorus:
Snake eyes, I'm watching
Snake eyes, look out
Snake eyes, it's coming
Snake eyes, ain't no escaping from the snake eye
(no way)
You leave a footprint
For my eye to see
Catch an echo
From a lock and key
From the shadow
Or behind a rock
Get you anywhere
From the darkest shack
Chorus
Hear a rustle
From behind a tree
Get you running
Home to sanctuary
Bolt the door and -
You think you're safe
I'm coming to get you
Gonna reach out (? ? ? )
Chorus
Got the snake eyes, they call me a snake in the bush
Snake eyes, biting
Snake eyes, always watching
Snake eyes
Ain't no escaping from the -
Just keep a lookout for the -
Snake eye"
229977,229977,borrowed-time,2009,ac-dc,Rock,"Got the word, getting ready
Gonna get my pay from
I'm in light
When the action is hot
No town, no city
Gonna be free from the jumping jack
Kiss of life, getting gritty
If the mule don't kick you know the mule don't ride
And I know, yes I know, well I know
That's the way to go
And I know, and I know
And I know that I'm gonna get it down the road
Cause I'm living on a borrowed time
Do it your way, I'll do it mine
Living on a borrowed time
Don't need a shove, don't need a sign
Call me names, call me crazy
Don't try to stop me when I feel this way
It's a game, (whoopsy daisy)
Here comes another girl to make my day
And I know, yes I know, well I know
That's the way to go
And I know, yes I know
I'm gonna get up when I'm up on the road
(So long, goodbye, good luck, au revoir baby)
(Look out people, never let me loose)
I don't need a sign to show me the way"
229978,229978,fling-thing,2009,ac-dc,Rock,"Same Tune As ""Bonny"" (Loch Lomand)
I'll take the high road
And you'll take the low road
And I'll be in Scotland afore ye
But me and my true love
Will never meet again
On the bonny, bonny banks of Loch Lomond"
229979,229979,cold-hearted-man,2009,ac-dc,Rock,"No one knew
Where he came from
He never knew himself
Call her ma
Call him pa
But he was born to someone else
No one fooled
Or messed him around
Cause they were all afraid
Ain't no lies
Ice in the eyes
Of Leroy Kincaid
[Chorus]
Cold hearted man
One time lover heart in his hand
Cold hearted man
And you can't trust nothing you don't understand
Cold hearted man
Cold hearted man
Like a snake
He had no friends
He didn't need no one
Hurt his pride
Deep inside
He was another mother's son
Reputation
Broken glass
Everybody prayed
For their lives on the street
Where they happened to meet
Leroy Kincaid
[Chorus]
Sometimes you can't see
The other side
It's too well hidden
For the naked eye
One time lover
With his heart in his hand
Two time loser
A broken man
Cold hearted man"
229980,229980,down-on-the-borderline,2009,ac-dc,Rock,"She's an idle child, high society
Never pushed a broom, didn't physically
Her eyes are down on you, her nose is up
Never spill your whiskey when she fill your cup
I'm on the borderline
She goes struttin' 'round and she shows so much
With a neon sign saying ""don't you touch""
Between the devil and the deep blue sea
She use me like an anchor, got a hold on me
Chorus:
On the borderline, see the danger sign
On the borderline, getting out of line
On the borderline, but it feels so good
On the borderline, on the borderline
On the borderline, borderline
(here goes)
You know I shoot the dice to climb the money tree
You pull them in without a thought to me
She doesn't want you when your pocket's dry
The queen of hearts will kill you when your ace is high
On the borderline
She's an idle child, high society
Never pushed a broom, didn't physically
Her eyes are down on you, her nose is up
Never spill your whiskey when she fill your cup
Chorus
Gonna meet you there
If you want me, meet me on the borderline"
229981,229981,cyberspace,2009,ac-dc,Rock,"Oh yeah!
High tail in your face
Black hole rockin' the place
Hong Kong videos
Big bang mad to blow
Into cyberspace
Look out I'm gonna race
Eight ball in the pack
Big bone jukebox jack
Hot star burnin' it up
Full moon runnin' amok
Into cyberspace
Look out I'm gonna race
Blow you into cyberspace
Blow you all into cyberspace
Gotta get out, get out of this place
Blow a big hole into cyberspace
Octane down the track
Flat chat smash the mach
Blow out burnin' hot
Mile high take you right to the top
Into cyberspace
Look out I'm gonna race
Blow you into cyberspace
Blow you all into cyberspace"
229982,229982,r-i-p-rock-in-peace,2009,ac-dc,Rock,"Leave me alone
Like a dog with a bone
Like a stone that's been thrown
Let me be on my own
Let me rock
Let me roll
Let me rock
Let me rock in peace
Outta my way
Got a boogie to play
Every dog has his day
Rock 'n' roll's here to stay
Let me rock
Let me roll
Let me rock
Let me rock in peace
(Feels good, for my mama, just like I knew it would)
I get my kicks
Outta playin' my licks
Outta layin' my chicks
Down on Route 66
Let me rock
Let me roll
Let me rock
Let me rock in peace
Rock, rock, rock in peace
Outta my way
Got a boogie to play
Every dog has his day
Rock 'n' roll's here to stay
Let me rock
Let me roll
Let me rock
Let me rock in peace
Rock, rock, rock in peace
Like Little Richard
Oh Jerry Lee
Chuck baby
I wanna rock
Let me rock in peace"
